'bai'da 百搭
'ban'xie 扮蟹
'bao'zou'zu 暴走族
'beng'di 蹦迪
'bian'dang 便当
'cai'niao 菜鸟
'chao'ci 潮词
'chao'huo'zu 朝活族
'chao'qing 潮青
'chao'ren 潮人
'chao'tong 潮童
'chao'yu 潮语
'chi'ruan'fan'de 吃软饭的
'da'ren 达人
'dan'shen'jie'zhi 单身戒指
'di'yao'niu'zai'ku 低腰牛仔裤
'dian'nao'you'xi'mi 电脑游戏迷
'dian'zi'shu 电子书
'dian'zi'za'zhi 电子杂志
'du'pi'wu 肚皮舞
'e'gao 恶搞
'er'nai 二奶
'fa'shao'you 发烧友
'fu'hei 腹黑
'fu'lan'ken'shi'wu 弗兰肯食物
'fu'weng 负翁
'gan'wu'nv 干物女
'gu'gan'mei'nv 骨感美女
'he'zu 合租
'huang'niu'piao 黄牛票
'jia'ting'zhu'nan 家庭主男
'jian'shang 健商
'jue'se'ban'yan 角色扮演
'ka'nu 卡奴
'ling'lei 另类
'luo'ben 裸奔
'luo'zhuang 裸妆
'lv'you 驴友
'mai'ba 麦霸
'mai'fei'fo 卖飞佛
'mian'ba 面霸
'ming'ren'ba'gua'za'zhi 名人八卦杂志
'na'mi'ji'shu 纳米技术
'niang'niang'qiang 娘娘腔
'pao'pao'wa 泡泡袜
'peng'che'zu 捧车族
'pian'qian'guang'gao 片前广告
'pu'la'ti 普拉提
'qi'fang 期房
'qiang'sha'fa 抢沙发
'qing'lv'zhuang 情侣装
'qing'qiang 情强
'qing'ruo 情弱
'qing'xiao'shuo 轻小说
'qu'ji 屈机
'quan'zhi'ma'ma 全职妈妈
're'ku 热裤
'sao'huo 扫货
'se'you 色友
'shan'zu 闪族
'she'ding 舌钉
'sheng'nv 剩女
'shi'cao'nan 食草男
'shi'pu 十扑
'shi'rou'nan 食肉男
'shu'du 数独
'shui'huo 水货
'si'mi'da 思密达
'tai'jiao 胎教
'tong'ling 通灵
'tong'ren'zhi 同人志
'tou'shi'zhuang 透视装
'tuan'gou 团购
'wen'nv 温女
'xian'shi'qiang'gou 限时抢购
'xiao'bai 小白
'xiao'bai'lian 小白脸
'xiao'cao 校草
'xiao'hua 校花
'xin'xin'ren'lei 新新人类
'xing'nan 型男
'yan'xun'zhuang 烟熏妆
'ying'guang'wen'shen 荧光纹身
'yu'ai 语癌
'zha'pi 扎啤
'zhai'du'jia 宅度假
